original_name,country_code,mapped_name,mapped_bvdId,mapping_score
HealthCare at Home India,IN,HEALTH CARE AT HOME INDIA PRIVATE LIMITED,IN0007958243,scoreA
Neozeka,TR,,,
ACL Teslim,TR,,,
Korozo,TR,,,
Weiyang,CN,WEI YANG LIMITED,HK0016841154,scoreA
"Guangzhou Senji Software Technology (Lizhiweike, Lychee)",CN,,,
Energy Monster,CN,,,
Fun Factory,CN,,,
Nanogen Biopharmaceutical,VN,,,
ALOG Technology,CN,"ALOG TECHNOLOGY CO., LTD.",CN*D00430708,scoreA
L&P Cosmetics,KR,"L & P COSMETIC CO.,LTD.",KR1101114081553,scoreA
UiPath,RO,UIPATH SRL,RO34737997,scoreA
Ticket Monster,KR,TMON INC. (Previous name: TICKET MONSTER INC.),KR1101114317247,scoreA
Shanghai City Shop,CN,,,
Awfis Space Solutions,IN,AWFIS SPACE SOLUTIONS PRIVATE LIMITED,IN0013891208,scoreA
M17 Entertainment,SG,,,
Office Depot Korea,KR,"OFFICE DEPOT KOREA CO.,LTD.",KR1101111618094,scoreA
ZipGo,IN,,,
Metarain Software Solutions (Myra Medicines),IN,,,
Pumping Team,MX,,,
Stockbit,ID,,,
My-Sutera,MY,MY-SUTERA SDN. BHD.,MY367254-M,scoreA
Lynk,CN,LYNK LTD,HK*Z00270597,scoreA
Rapidoo,BR,,,
Farmacias Independente,BR,VJ FARMA LTDA (Alias: FARMACIAS INDEPENDENTE),BR01693953000145,scoreA
Volanty,BR,VOLANTY LLC (Alias: VOLANTY),BR26538343000106,scoreA
EpimAb Biotherapeutics,CN,"EPIMAB BIOTHERAPEUTICS CO., LTD",CN*Z00266779,scoreA
Kensta Group,KE,KENSTA GROUP,KE*Z00265691,scoreA
Neoway,BR,,,
Faasos,IN,,,
Niramai Health Analytix,IN,NIRAMAI HEALTH ANALYTIX PRIVATE LIMITED,IN0015522149,scoreA
UrbanClap Technologies,IN,,,
Fiem Industries,IN,FIEM INDUSTRIES LIMITED,IN33458FI,scoreA
Ad Victoriam Ventures (StalkBuyLove),IN,AD VICTORIAM VENTURES PRIVATE LIMITED,IN0007744244,scoreA
AllLife,ZA,ALL LIFE (PTY) LTD,ZA200400828307,scoreA
Little Green Beverages,ZA,OLD LITTLE GREEN BEVERAGES (PTY) LTD,ZA200603401607,scoreA
Shadow Creator Information Technology,CN,,,
TianYi Research Institute,CN,,,
SunCulture,KE,,,
PayGo Energy,KE,PAYGO ENERGY LIMITED,KECPR2016-007312,scoreA
MA's Foods,LK,,,
Autoplus,KR,AUTO PLUS INC.,KR1101111847784,scoreA
Sanjay Maintenance Services,IN,SANJAY MAINTENANCE SERVICES PVT. LTD.,IN11-125538,scoreA
Shanghai Bai Ji Information Technology,CN,"SHANGHAI ZHIZI INFORMATION TECHNOLOGY CO., LTD.",CN46612PC,scoreA
Swingvy,SG,SWINGVY PTE. LTD.,SG201635071C,scoreA
Beijing Base Technology (U-Parking),CN,,,
Instituto Terapeutico Delta,BR,INSTITUTO TERAPEUTICO DELTA LTDA.,BR*190521561475,scoreA
YeeCall,CN,,,
Microvast Power Systems (MPS),CN,,,
Masan Nutri-Science,VN,MASAN NUTRI-SCIENCE CORPORATION,VN0311224517,scoreA
IceKredit,CN,,,
Asian Institute of Nephrology and Urology,IN,ASIAN INSTITUTE OF NEPHROLOGY AND UROLOGY PRIVATE LIMITED,IN0013444264,scoreA
Holachef Hospitality,IN,HOLACHEF HOSPITALITY PRIVATE LIMITED,IN0012035762,scoreA
Winthrop Pharma Senegal,SN,,,
Muxi,BR,,,
Eco Minera,AR,ECO MINERA SA,AR30-68169727-2,scoreA
Village Grocer,MY,VILLAGE GROCER SDN BHD,MY645017-A,scoreA
Absentia Virtual Reality,IN,ABSENTIA VIRTUAL REALITY PRIVATE LIMITED,IN0014889812,scoreA
mobLee,BR,MOBLEE TECNOLOGIA DA INFORMACAO S.A. (Alias: MOBLEE),BR13494405000175,scoreA
Escale,BR,ESCALE PINTURAS PREDIAIS E COMERCIO LTDA (Alias: ESCALE),BR73150104000156,scoreA
General Water,BR,GENERAL WATER S/A,BR04088389000120,scoreA
Whodat Tech,IN,WHODAT TECH PRIVATE LIMITED,IN0013658049,scoreA
Beijing More Information Technology (More Health),CN,,,
Qiangsen International Community Medical,CN,,,
South Indian Bank,IN,SOUTH INDIAN BANK LIMITED,INFEB32462,scoreA
Clio Cosmetics,KR,"CLIO COSMETICS CO.,LTD.",KR1101111421273,scoreA
Shanghai Junzheng Network Technology (Hellobike),CN,"SHANGHAI JUNZHENG NETWORK TECHNOLOGY CO., LTD.",CN9403427552,scoreA
Nuvia,TR,,,
Shillong Expressway,IN,SHILLONG EXPRESSWAY PRIVATE LIMITED,IN0014046887,scoreA
Jodhpur Pali Expressway,IN,JODHPUR PALI EXPRESSWAY PRIVATE LIMITED,IN0010594819,scoreA
Meiweiting (Beijing) Culture Development,CN,,,
Zhejiang POCTech Medical,CN,,,
Muslimarket,ID,,,
Kyligence,CN,KYLIGENCE LIMITED,HK0024033137,scoreA
Lendingkart Technologies,IN,LENDINGKART TECHNOLOGIES PRIVATE LIMITED,IN0013934903,scoreA
Dr. Mohan's Diabetes Specialities Centre,IN,DR.MOHAN'S DIABETES SPECIALITIES CENTRE PRIVATE LIMITED,IN0002770756,scoreA
Favstay,TH,,,
Xin Net Technology,CN,,,
Shanghai Hao Ju Information & Technology,CN,"SHANGHAI HAOJU INFORMATION TECHNOLOGY CO.,LTD",CN9364550194,scoreA
Beijing Taiyang Chuanghe Media,CN,,,
Mikro Yazilim,TR,,,
Simulanis,IN,,,
DataGrand Tech,CN,DATAGRAND TECH INC.,CN*Z00266625,scoreA
Upgrade3D,CL,UPGRADE 3D S.P.A.,CL761679120,scoreA
Elmodis,PL,ELMODIS SP. Z O.O.,PL361828950,scoreA
KongZhong,CN,"KONGZHONG( CHINA ) CO.,LTD",CN9360986164,scoreA
First Circle,PH,FIRST CIRCLE,PH*Z00240825,scoreA
HackerEarth Technologies,IN,HACKEREARTH TECHNOLOGIES PRIVATE LIMITED,IN0013927791,scoreA
Kuapay,CL,KUAPAY CHILE LIMITADA (Alias: KUAPAY LTDA),CL761526936,scoreA
Purple Panda Fashions (Clovia),IN,,,
Ideas Infolabs (Ninjacart),IN,,,
Emiza Supply Chain Services,IN,EMIZA SUPPLY CHAIN SERVICES PRIVATE LIMITED,IN0015056418,scoreA
NetEase Cloud Music,CN,,,
Northstar Finance Services,GH,,,
QG Power Africa,,QG POWER AFRICA LIMITED,MU0001480457,scoreA
Perimetral de Oriente de Cundinamarca,CO,,,
FiveJack (Itemku),ID,,,
Guotai Junan Securities,CN,"GUOTAI JUNAN SECURITIES CO., LTD.",CNFEB59332,scoreA
Alading Bank,CN,,,
San Jose Lopez (SJL),MA,,,
Lynk Jobs,KE,LYNK JOBS LIMITED,KECPR2015-198005,scoreA
Saleswhale,SG,SALESWHALE PTE. LTD.,SG201416294C,scoreA
Four Rivers Investment Management,CN,,,
Shanghai Mime Financial Information (Memedai.cn),CN,,,
Beijing Mint Quantum Information Technology,CN,"BEIJING MINT QUANTUM INFORMATION TECHNOLOGY CO., LTD",CN*Z00262707,scoreA
Souche Holdings,CN,,,
51zhaoyou.com,CN,,,
Horus Aeronaves,BR,HORUS AERONAVES LTDA - EPP,BR19664563000102,scoreA
Beijing Yidianyuan Network Technology (Xiaodian),CN,,,
Malo Clinic Health & Wellness Group China,CN,,,
21vek.by,BY,,,
Mech Mocha Game Studios,IN,MECH MOCHA GAME STUDIOS PRIVATE LIMITED,IN0008234622,scoreA
Dataweave,IN,,,
Ubook,BR,UBOOK EDITORA S.A. (Alias: UBOOK),BR19141082000112,scoreA
Syscloud Technology,CN,,,
I&M Bank (Rwanda),RW,I&M BANK (RWANDA) LTD,RWFEB10539,scoreA
99.co,SG,,,
Shenzhen Laidian Technology,CN,"SHENZHEN LAIDIAN TECHNOLOGY CO., LTD",CN*Z00265201,scoreA
Wecash,CN,,,
Chip Inside,BR,,,
Appota,VN,APPOTA CORPORATION,VN0105715968,scoreA
AdAsia,SG,ADASIA SINGAPORE PTE. LTD.,SG201019083D,scoreA
dcs plus,RO,,,
Rapsodia,AR,RAPSODIA SRL,AR30-66109280-3,scoreA
Groupon LatAm,,,,
NIDA Rooms,ID,,,
Mobike,CN,,,
AirTrunk,SG,AIRTRUNK PTE. LTD.,SG201526793E,scoreA
Blue Skies Holdings,,BLUE SKIES HOLDINGS LIMITED,GB04049445,scoreA
YunNiao.me,CN,,,
Beijing Dataman Technology,CN,"BEIJING DATIAN TECHNOLOGY CO.,LTD",CN9360997598,scoreA
Wanyoo,CN,,,
Beijing Rocen Digital Technology,CN,,,
Vortex Engineering,IN,VORTEX ENGINEERING PRIVATE LIMITED,IN0005436711,scoreA
International School of Carthage,TN,INTERNATIONAL SCHOOL OF CARTHAGE,TNB0151622005,scoreA
Kuaikan Comic,CN,,,
Huolala Global Investment,CN,HUOLALA GLOBAL INVESTMENT LTD,HK*Z00046548,scoreA
Ecolibrium Energy,IN,ECOLIBRIUM ENERGY PRIVATE LIMITED,IN0007776494,scoreA
Sahajanand Medical Technologies,IN,SAHAJANAND MEDICAL TECHNOLOGIES PRIVATE LIMITED,IN0009865116,scoreA
Ad Victoriam Ventures (StalkBuyLove),IN,AD VICTORIAM VENTURES PRIVATE LIMITED,IN0007744244,scoreA
InstaCarro,BR,,,
Sixscape,SG,,,
Lumos Global,NG,,,
Hortes,EE,HORTES AS,EE11081332,scoreA
Traveazy (HolidayMe),AE,,,
Zhejiang Gejia Network Technology (Gegejia),CN,,,
Hiip,VN,,,
Me Salva!,BR,ME SALVA ! CURSOS E CONSULTORIAS LTDA (Alias: ME SALVA !),BR16733268000172,scoreA
FastFox,IN,,,
Maverix Platforms (Fingerlix),IN,,,
Shenzhen Jiedian Technology (Ankebox),CN,,,
Perfios Software Solutions,IN,PERFIOS SOFTWARE SOLUTIONS PRIVATE LIMITED,IN0008164337,scoreA
ElasticRun,IN,,,
Beijing Guogan Shidai Technology (MAMA+),CN,,,
InspiraFarms,,,,
Mekong Timber Plantations,LA,,,
Quicko Technosoft Labs (Whatfix),IN,,,
Grupo Transmerquim (GTM),,,,
IP Fabric,CZ,"IP FABRIC, S.R.O.",CZ05223172,scoreA
HealthCare at Home,IN,,,
Ayopop,ID,,,
Share Infotech (Testbook.com),IN,,,
Spandana Sphoorty Innovative Financial Services,IN,,,
SmartCoin Financials(SmartCoin),IN,,,
Kalyan Jewellers,IN,KALYANI JEWELLERS PRIVATE LIMITED,IN0004275857,scoreA
Tricor Holdings,CN,TRICO HOLDINGS LIMITED,HK0011695782,scoreA
Daesung Industrial Gases,KR,"DAESUNG INDUSTRIAL GASES CO.,LTD.",KR1101110247498,scoreA
Advyteam,TN,,,
Genesis Colors,IN,GENESIS COLORS LIMITED,IN0003116593,scoreA
Ubiix,TW,,,
auto24,EE,AUTO24 AS,EE10416931,scoreA
Vertical,RU,VERTICAL JOINT-STOCK COMPANY,RU81348593,scoreA
Fasten/RuTaxi,RU,,,
Ultrapetrol River,,,,
Everpure Holdings,GH,,,
Xinliangji Food Technology,CN,,,
Omni Prime,CN,OMNI PRIME INC.,CN*Z00213432,scoreA
GHL Systems,MY,GHL SYSTEMS BERHAD,MY293040-D,scoreA
SuperMarket Grocery Supplies (BigBasket.com),IN,,,
Jaypore E-Commerce,IN,JAYPORE E-COMMERCE PRIVATE LIMITED,IN0004097992,scoreA
Ascend Telecom Infrastructure,IN,ASCEND TELECOM INFRASTRUCTURE PRIVATE LIMITED,IN0001165196,scoreA
Kerala Institute of Medical Science (KIMS),IN,,,
Henan Boya Zhidao E-Commerce (I Believe),CN,,,
Zhirong Group (Yongqianbao),CN,,,
Weeloy,SG,WEELOY PTE. LTD.,SG201403781C,scoreA
Xiaolu Yiguan,CN,,,
Gamee,CZ,,,
Tecnica Ambiental (Bioupar),CO,,,
Flashhold,CN,,,
Soleq Taiwan,TW,,,
B9 Beverages (Bira 91),IN,,,
OSLabs Technology (Indus OS),IN,,,
Sensors Data,CN,,,
Parsek,SI,"PARSEK, INFORMACIJSKE TEHNOLOGIJE, D.O.O. (Alias: PARSEK D.O.O.)",SI1328689,scoreA
CentrumDirect,IN,CENTRUMDIRECT LIMITED,IN0000263911,scoreA
Delightful Gourmet (Licious),IN,,,
BSCPL Godhra Tollways (BGTL),IN,,,
Tiger Brokers,CN,TIGER BROKERS LIMITED,HK0024472665,scoreA
Bharti Infratel,IN,BHARTI INFRATEL LIMITED,IN34583FI,scoreA
International School of Engineering (INSOFE),IN,,,
Atria Convergence Technologies (ACT),IN,ATRIA CONVERGENCE TECHNOLOGIES PRIVATE LIMITED,IN0000282681,scoreA
Rio Energy,BR,RIO ENERGY GRUPO LTDA - EPP (Alias: RIO ENERGY),BR19299194000104,scoreA
Khmerload,KH,,,
Snapcart,ID,,,
Vanke Property Development,CN,"VANKE PROPERTY DEVELOPMENT CO., LTD.",CN9384539465,scoreA
Vaatsalya Healthcare,IN,VAATSALYA HEALTHCARE,IN*P0061870,scoreA
Nalanda Learning Systems (Little Laureates),IN,,,
Intas Pharmaceuticals,IN,INTAS PHARMACEUTICALS LIMITED,IN0000217945,scoreA
Kisumu Concrete Products,KE,KISUMU CONCRETE PRODUCTS LIMITED,KEC17534,scoreA
PharmEasy,IN,,,
SSN Logistics (Delhivery.com),IN,,,
Babadu,RU,BABADU COMPANY LIMITED,RU30608012,scoreA
Aonde Educacional (Conecturma),BR,,,
Shanghai Niu Jiao Suo Investment Management,CN,,,
Wuhan Cobot Technology,CN,,,
Ms.Onion DFS,CN,,,
VIPc.cn,CN,,,
Incred Finance,IN,,,
L&T Infotech,IN,L T INFOTECH PRIVATE LIMITED,IN0009403219,scoreA
Cravatex Brands,IN,CRAVATEX BRANDS LIMITED,IN0016327123,scoreA
The News Lens,TW,"THE NEWS LENS CO., LTD.",TW54324104,scoreA
66nao Brain Training,CN,,,
Shanghai Free Finance Information Services (magfin.cn),CN,,,
Cata Company,BR,,,
Qlapa,ID,,,
Carro,SG,CARRO,SG53352160B,scoreA
DCM Asia,MY,,,
Beijing Sailian Technology (Xiaoyu Link),CN,,,
GPA Global,CN,,,
Hejin Online,CN,,,
PlanetCast Media Services,IN,PLANETCAST MEDIA SERVICES LIMITED,IN0000254839,scoreA
Shenzhen Qianhai Dadao Financial Services,CN,"SHENZHEN QIANHAI DADAO FINANCIAL SERVICES CO., LTD",CN*Z00219298,scoreA
Sanasa Development Bank (SDB),LK,SANASA DEVELOPMENT BANK PLC,LK0000073405,scoreA
Le Travenues Technology (ixigo),IN,,,
Weex,MX,,,
MarketsandMarkets,IN,,,
Pargo,ZA,PARGO,ZA*Z00266757,scoreA
Wujie Space,CN,,,
Kilimo,AR,KILIMO SA,AR30-71510794-1,scoreA
Airpay Payment Services,IN,AIRPAY PAYMENT SERVICES PRIVATE LIMITED,IN0014651748,scoreA
Shanghai Kanbang Information Technology (NewRank),CN,,,
IDwall,BR,IDWALL TECNOLOGIA LTDA - ME (Alias: IDWALL),BR24934106000120,scoreA
DT+Seekr (Direct Talk),BR,,,
Woxing Group,CN,,,
Regency Healthcare,IN,REGENCY HEALTHCARE PRIVATE LIMITED,IN0006557748,scoreA
Santa Monica Networks Latvia and Lithuania,LV,,,
Chezhibao (Mychebao.com),CN,,,
YCloset,CN,,,
Geek+,CN,,,
OCL India,IN,OCL INDIA LIMITED,IN30090FI,scoreA
Charming Huang Info & Tech (Hypereal),CN,,,
Xiaoyusan,CN,,,
United Photovoltaics Group,CN,UNITED PHOTOVOLTAICS GROUP LIMITED,HK0000146971,scoreA
Debt Rescue,ZA,DEBT RESCUE (PTY) LTD,ZA201642064607,scoreA
Hangzhou Quantum Finance,CN,,,
Suzhou Ribo Life Science,CN,"SUZHOU RIBO LIFE SCIENCE CO.,LTD",CN9363445471,scoreA
Beijing Zmeng Network Technology,CN,,,
Intellifusion Technologies,CN,,,
Huilian Jinke Information Technology (Beijing),CN,"HUILIAN JINKE INFORMATION TECHNOLOGY (BEIJING) CO., LTD",CN*Z00205153,scoreA
MTG Baltic,,,,
Homage,SG,,,
Nanjing Lanjingren Network Technology (Mei Pian),CN,,,
TREV-2 Group,EE,,,
FarMart,IN,,,
Makeblock,CN,"MAKEBLOCK CO., LTD.",CN9380687912,scoreA
Pawoon,ID,,,
Luxeva (POPxo),IN,,,
VU Security,AR,VU SECURITY SA,AR30-71041663-6,scoreA
Ergos Business Solutions,IN,ERGOS BUSINESS SOLUTIONS PRIVATE LIMITED,IN0002588349,scoreA
Innovalues,SG,INNOVALUES LIMITED,SG199702822E,scoreA
Sanoma Baltics,EE,AS SANOMA BALTICS,EE*110179544721,scoreA
POS Media Group,CZ,,,
Ematic Solutions,SG,EMATIC SOLUTIONS PTE. LTD.,SG201111609G,scoreA
TopSchool,CN,,,
Ideal Cures,IN,IDEAL CURES PRIVATE LIMITED,IN0003692662,scoreA
Groupon Brasil,BR,,,
Indiavidual Learning (Embibe.com),IN,,,
MPaani Solutions,IN,MPAANI SOLUTIONS PRIVATE LIMITED,IN0014569235,scoreA
Andhra Pradesh Expressway,IN,ANDHRA PRADESH EXPRESSWAY LIMITED,IN0000215843,scoreA
Borqs Beijing (Borqs),CN,,,
Lavelle Networks,IN,LAVELLE NETWORKS PRIVATE LIMITED,IN0014719149,scoreA
UFBOT,CN,,,
Shanghai Zhier Network Technology,CN,"SHANGHAI ZHI NETWORK TECHNOLOGY CO.,LTD",CN9364551606,scoreA
Property Share,IN,,,
Beijing Block 12 Culture Communication,CN,"BEIJING BLOCK 12 CULTURE COMMUNICATION CO., LTD",CN*Z00258841,scoreA
Beijing Fuyou Online Information Technology,CN,"BEIJING YA YU ONLINE INFORMATION TECHNOLOGY CO., LTD.",CN9384719447,scoreA
Souget.com,CN,,,
IKaiHuo,CN,IKAIHUO CORPORATION,CN*Z00243060,scoreA
Beijing Guanjiu Food Culture,CN,,,
Beijing Yizhang Yunfeng Technology  (Easemob.com),CN,,,
Revolution Precrafted,PH,,,
Unitech Machines,IN,UNITECH MACHINES LIMITED,IN0000226299,scoreA
Proparents Solutions (Parentune.com),IN,,,
ULink BioEnergy (AgroStar),IN,,,
PipeCandy,IN,,,
Easynvest,BR,EASYNVEST - TITULO CORRETORA DE VALORES SA (Alias: EASYNVEST),BR62169875000179,scoreA
Zhuhai Micro Fountain Technology (Xin Xi Bao),CN,,,
Fincare Business Services,IN,FINCARE BUSINESS SERVICES LIMITED,IN0012382869,scoreA
Blowhorn,IN,,,
Avenue Supermarts,IN,AVENUE SUPERMARTS LIMITED,IN0000217717,scoreA
Tylko,PL,,,
Amartha,ID,,,
Viva Republica (Toss),KR,,,
Modanisa,TR,,,
Caicloud,CN,,,
Haituncun (Shenzhen) Info-Tech (Azoya),CN,,,
Thika Royal Palms,KE,THIKA ROYAL PALMS LIMITED,KECPR2014-165613,scoreA
Yoco,ZA,,,
Sunpower,CN,SUN POWER LIMITED,HK0020856718,scoreA
One97 Communications (Paytm),IN,,,
CloudMind AI,CN,,,
Up Pictures,CN,PICTURES UP LIMITED,HK0023704163,scoreA
ktjr.com,CN,,,
Dora’s Dream,CN,,,
Klook Travel Technology,CN,KLOOK TRAVEL TECHNOLOGY LIMITED,HK0019781494,scoreA
Shumei Technology,CN,SHUMEI TECHNOLOGY LIMITED,HK0023738496,scoreA
Mint Stay Solutions,IN,,,
RedCarpet,IN,RED CARPET PRIVATE LIMITED,IN0006533553,scoreA
Youon Bike,CN,,,
Power Mech Projects,IN,POWER MECH PROJECTS LIMITED,IN39334FI,scoreA
Karomi Technology,IN,KAROMI TECHNOLOGY PRIVATE LIMITED,IN0004457181,scoreA
Updater Services (UDS),IN,,,
PolicyPal,SG,POLICYPAL PTE. LTD.,SG201610784K,scoreA
Hunan Guitaitai Camelia Oil Technology,CN,"HUNAN GUITAITAI CAMELLIA OIL TECHNOLOGY CO., LTD.",CN44636PC,scoreA
Genesis Colors,IN,GENESIS COLORS LIMITED,IN0003116593,scoreA
Brinton Pharmaceuticals,IN,BRINTON PHARMACEUTICALS LIMITED,IN0013596059,scoreA
Crest Agro Products,NG,,,
Soocare,CN,,,
Ofo,CN,OFO CO. LTD.,CN*110181560625,scoreA
Konverge Healthcare,IN,KONVERGE HEALTHCARE PRIVATE LIMITED,IN0013894023,scoreA
AluNile,EG,NILE ALUMINIUM & METALS COMPANY SAE (Alias: ALU NILE),EG0000005113,scoreA
Grupo IGA,CO,GRUPO IGA S A S,CO9008419590,scoreA
Yunmanman,CN,,,
Belong,IN,,,
Gerant d'Eternel,CD,,,
Atlas Renewable Energy,,ATLAS RENEWABLE ENERGY MEXICO S DE RL DE CV,MXLEI1136691,scoreA
Venteny,SG,VENTENY PTE. LTD.,SG201621450Z,scoreA
Delivereat,MY,DELIVEREAT SDN BHD,MY*Z00257783,scoreA
Synced,CN,,,
Zinka Logistics (Blackbuck),IN,,,
Zongmu Technology,CN,,,
Hero Telecomms,ZA,HERO TELECOMS (PTY) LTD,ZA201301437607,scoreA
Gambol Pet Group,CN,"GAMBOL PET GROUP CO., LTD.",CN9367131203,scoreA
Shanghai Information Technology (atzuche.com),CN,,,
Lepu.cn,CN,,,
Weiming Penguin,CN,,,
CoClean,CN,,,
Supermonkey Fitness,CN,,,
Selecta Baltic Operations,,,,
Orbit Corporate and Leisure Travels (Goomo),IN,,,
Adlabs Entertainment (Adlabs Imagica),IN,,,
Anxin Doctor,CN,,,
Printerous,ID,,,
CreditEase Insurance Agency,CN,,,
Get My Parking,IN,,,
Evolution Wellness,MY,WELLNESS REVOLUTION SDN. BHD.,MY1125630-X,scoreA
Tala,,TALA,RU34859107,scoreA
MTech Engineering (industrybuying.com),IN,,,
iQiyi,CN,"IQIYI, INC.",CN*I00014897635,scoreA
MoneyTable,TH,"MONEYTABLE CO., LTD",TH*Z00260932,scoreA
Kenafric Industries,KE,KENAFRIC INDUSTRIES LIMITED,KEC34924,scoreA
Dah Makan,MY,,,
Vault Dragon,SG,VAULT DRAGON PTE. LTD.,SG201318318G,scoreA
Balance Hero (True Balance),IN,,,
Creditas,BR,CREDITAS SOLUCOES FINANCEIRAS LTDA. (Alias: CREDITAS),BR17770708000124,scoreA
CreditMantri Finserv,IN,CREDITMANTRI FINSERVE PRIVATE LIMITED,IN0002151363,scoreA
Sindila Micro – Hydro,UG,,,
iBeiDiao,CN,,,
Insignia Art Collect (BestCollegeArt),IN,INSIGNIA ART COLLECT PRIVATE LIMITED,IN0003858384,scoreA
Paix Technology (Truebil),IN,,,
Rainbow Children's Clinic,CN,,,
Pine Care,CN,,,
Poputar,CN,,,
Urban Ladder Home Decor Solutions,IN,URBAN LADDER HOME DECOR SOLUTIONS PRIVATE LIMITED,IN0005494216,scoreA
Apoema Capital Partners,BR,,,
Suryoday Microfinance (SMF),IN,,,
Intowow Innovation,TW,,,
YourStory Media,IN,YOURSTORY MEDIA PRIVATE LIMITED,IN0004920045,scoreA
MSParis,CN,,,
mClinica,SG,MCLINICA PTE. LTD.,SG201419378D,scoreA
Unilink,PL,UNILINK S.A.,PL015284773,scoreA
Data Resolve Technologies,IN,DATA RESOLVE TECHNOLOGIES PRIVATE LIMITED,IN0002253544,scoreA
Beijing Nuokangda Pharmaceutical Technology,CN,,,
